id_jugador,nombre_jugador,equipo_jugador,id_equipo,temporada_equipo
47398,Pere Milla,Elche,797,2022
51449,Pedro Gastón Álvarez Sosa,Getafe,546,2022
119742,Juan Iglesias,Getafe,546,2022
122956,Diego Conde,Getafe,546,2022
189866,John Nwankwo,Elche,797,2022
263017,B. Knežević,Elche,797,2022
278281,Vicente Bellmunt,Getafe,546,2022
332315,Alejandro Alfaro,Elche,797,2022
339804,M. Cocca,Elche,797,2022
341371,Rodrigo Mendoza,Elche,797,2022
143,Carles Aleñá,Getafe,546,2022
755,Jaime Seoane,Getafe,546,2022
2060,M. El Haddadi,Getafe,546,2022
2671,Jaime Mata,Getafe,546,2022
46790,Víctor García Raja,Valladolid,720,2022
46982,Gonzalo Villar,Getafe,546,2022
47085,Luis Milla,Getafe,546,2022
47258,M. Arambarri,Getafe,546,2022
47472,Borja Mayoral Moya,Getafe,546,2022
47499,E. Ünal,Getafe,546,2022
47520,Portu,Getafe,546,2022
47540,Ángel Algobia,Getafe,546,2022
162028,Juanmi Latasa,Getafe,546,2022
185602,Alejandro Revuelta Montero,Getafe,546,2022
286643,Koffi,Getafe,546,2022
287175,Álex Rodríguez,Getafe,546,2022
293297,John Patrick,Getafe,546,2022
333373,Gorka Rivera,Getafe,546,2022
335239,Moisés Parra,Getafe,546,2022
348329,Pablo Ramírez,Getafe,546,2022
736,Fran García,Rayo Vallecano,728,2022
15900,A. Mumin,Rayo Vallecano,728,2022
18895,F. Lejeune,Rayo Vallecano,728,2022
20520,I. Balliu,Rayo Vallecano,728,2022
41552,P. Ciss,Rayo Vallecano,728,2022
46775,Salvi,Rayo Vallecano,728,2022
46914,E. Saveljich,Rayo Vallecano,728,2022
47285,Unai López,Rayo Vallecano,728,2022
47327,Diego López,Rayo Vallecano,728,2022
47527,S. Dimitrievski,Rayo Vallecano,728,2022
47529,Miguel Ángel Morro,Rayo Vallecano,728,2022
47533,Catena,Rayo Vallecano,728,2022
47541,Santi Comesaña,Rayo Vallecano,728,2022
47543,Álvaro García,Rayo Vallecano,728,2022
47549,José Ángel Pozo,Rayo Vallecano,728,2022
47550,Mario Suárez,Rayo Vallecano,728,2022
47557,Ó. Trejo,Rayo Vallecano,728,2022
107207,Mario Hernández,Rayo Vallecano,728,2022
131546,Isi Palazón,Rayo Vallecano,728,2022
181734,Pep Chavarría,Rayo Vallecano,728,2022
52,Sergio Camello,Rayo Vallecano,728,2022
740,Javier Sánchez,Valladolid,720,2022
1682,Asenjo,Valladolid,720,2022
2040,Escudero,Valladolid,720,2022
47078,Luis Pérez,Valladolid,720,2022
47109,Óscar Valentín,Rayo Vallecano,728,2022
47209,Andrés Martín,Rayo Vallecano,728,2022
47433,L. Olaza,Valladolid,720,2022
47474,Jordi Masip,Valladolid,720,2022
47551,Raúl de Tomás,Rayo Vallecano,728,2022
56283,Lucas Oliveira Rosa,Valladolid,720,2022
136847,Y. Meykher,Valladolid,720,2022
182664,Gaizka Ayesa Burgui,Real Sociedad,548,2022
195263,Diego Moreno Cledera,Valladolid,720,2022
253699,Antonio Zarzana,Sevilla,536,2022
298064,David Torres,Valladolid,720,2022
309917,Álvaro Aceves,Valladolid,720,2022
333378,Diego Méndez,Rayo Vallecano,728,2022
341700,Iván Fresneda,Valladolid,720,2022
377197,Pablo Muñoz,Rayo Vallecano,728,2022
158,P. Gazzaniga,Girona,547,2022
1583,Sergio León,Valladolid,720,2022
2001,Cyle Christopher Larin,Valladolid,720,2022
2053,Roque Mesa,Valladolid,720,2022
2459,D. Machís,Valladolid,720,2022
2717,A. Tuhami,Valladolid,720,2022
16369,G. Plata,Valladolid,720,2022
18902,Kenedy,Valladolid,720,2022
46979,Iván Sánchez,Valladolid,720,2022
47153,Juan Carlos,Girona,547,2022
47195,Álvaro Aguado,Valladolid,720,2022
47487,Joaquín Fernández,Valladolid,720,2022
47496,Óscar Plano,Valladolid,720,2022
63542,M. Hongla,Valladolid,720,2022
104941,Monchu,Valladolid,720,2022
107153,Kike Pérez,Valladolid,720,2022
161963,Germán Valera,Real Sociedad,548,2022
162533,Toni Fuidias,Girona,547,2022
185094,Alberto Quintana,Valladolid,720,2022
331003,Roberto Arroyo,Valladolid,720,2022
1700,Iván Martín,Girona,547,2022
2182,V. Tsygankov,Girona,547,2022
2449,Y. Herrera,Girona,547,2022
10166,Reinier,Girona,547,2022
18949,Oriol Romeu,Girona,547,2022
46849,Javi Hernández,Girona,547,2022
47334,David López,Girona,547,2022
47492,Toni Villa,Girona,547,2022
47505,B. Espinosa,Girona,547,2022
47511,Juanpe,Girona,547,2022
47514,Valery,Girona,547,2022
47516,Aleix García,Girona,547,2022
135334,S. Bueno,Girona,547,2022
136117,Rodrigo Riquelme,Girona,547,2022
162032,Miguel Gutiérrez,Girona,547,2022
197448,Yan Bueno Couto,Girona,547,2022
263529,I. Kebe,Girona,547,2022
283668,Arnau Martínez,Girona,547,2022
332217,Matas,Girona,547,2022
332219,Biel Farres,Girona,547,2022
111,Rony Lopes,Sevilla,536,2022
1584,Loren Morón,Real Betis,543,2022
2617,C. Stuani,Girona,547,2022
19306,A. Appiah,Almeria,723,2022
46749,L. Junior,Mallorca,798,2022
47286,Peru Nolaskoain,Athletic Club,531,2022
47318,Jon Bautista,Real Sociedad,548,2022
47498,Waldo Rubio,Valladolid,720,2022
47515,Borja García,Girona,547,2022
50856,Valentín Mariano José Castellanos Giménez,Girona,547,2022
104932,Curro Sánchez,Almeria,723,2022
162530,Sergio Santos,Real Madrid,541,2022
182181,Jesús Areso,Osasuna,727,2022
182772,Juanlu Sánchez,Sevilla,536,2022
192032,Iván Romero,Sevilla,536,2022
293604,Javier Llabrés,Mallorca,798,2022
297304,D. Camara,Girona,547,2022
297311,Kike Salas,Sevilla,536,2022
327628,Ricard Artero,Girona,547,2022
339105,Joel Roca,Girona,547,2022
31,J. Giménez,Atletico Madrid,530,2022
119,R. Falcao,Rayo Vallecano,728,2022
148,Riqui Puig,Barcelona,529,2022
274,E. Cavani,Valencia,532,2022
340,S. Babić,Almeria,723,2022
756,F. Valverde,Real Madrid,541,2022
927,Lee Kang-In,Mallorca,798,2022
2285,A. Rüdiger,Real Madrid,541,2022
2814,P. Rajković,Mallorca,798,2022
2819,S. Mitrović,Getafe,546,2022
2824,N. Maksimović,Getafe,546,2022
2852,L. Augustinsson,Mallorca,798,2022
6048,B. Cufré,Mallorca,798,2022
18742,M. Doherty,Atletico Madrid,530,2022
19026,L. de la Torre,Celta Vigo,538,2022
38735,S. Dest,Barcelona,529,2022
47041,Alberto Perea,Cadiz,724,2022
70339,S. Weissman,Valladolid,720,2022
127426,Pol Lozano,Espanyol,540,2022
162106,Y. Musah,Valencia,532,2022
21,Francisco Alcácer García,Villarreal,533,2022
372,Éder Militão,Real Madrid,541,2022
614,C. Bravo,Real Betis,543,2022
762,Vinícius José Paixão de Oliveira Júnior,Real Madrid,541,2022
872,Miralem Pjanić,Barcelona,529,2022
1828,L. Jović,Real Madrid,541,2022
2032,Jørgen Strand Larsen,Celta Vigo,538,2022
2421,A. Callens,Girona,547,2022
2433,R. Tapia,Celta Vigo,538,2022
2924,A. Januzaj,Sevilla,536,2022
8587,S. Amallah,Valladolid,720,2022
10009,Rodrygo,Real Madrid,541,2022
18893,Federico Fernández,Elche,797,2022
24760,G. Mamardashvili,Valencia,532,2022
31386,J. El Yamiq,Valladolid,720,2022
46666,Roberto Torres,Osasuna,727,2022
46672,Rui Silva,Real Betis,543,2022
46871,Dani Martín,Real Betis,543,2022
66761,M. Osmajić,Cadiz,724,2022
181421,A. Ezzalzouli,Osasuna,727,2022
134,Juan Miranda,Real Betis,543,2022
1264,Y. Sabaly,Real Betis,543,2022
1565,Edgar González,Real Betis,543,2022
1568,P. Akouokou,Real Betis,543,2022
1570,Sergio Canales,Real Betis,543,2022
1573,A. Guardado,Real Betis,543,2022
1579,Joaquín,Real Betis,543,2022
1580,William Carvalho,Real Betis,543,2022
1693,Víctor Ruiz,Real Betis,543,2022
1847,Luiz Felipe,Real Betis,543,2022
2469,G. Pezzella,Real Betis,543,2022
2476,G. Rodríguez,Real Betis,543,2022
9700,Abner Vinícius da Silva Santos,Real Betis,543,2022
18965,Martín Montoya,Real Betis,543,2022
47119,Aitor Ruibal,Real Betis,543,2022
185477,Rodri,Real Betis,543,2022
188409,Francisco Javier Delgado Rojano,Real Betis,543,2022
188413,Ricardo Visus Contreras,Real Betis,543,2022
347886,Félix Garreta,Real Betis,543,2022
392455,Germán García,Real Betis,543,2022
131,Jorge Cuenca,Villarreal,533,2022
166,J. Foyth,Villarreal,533,2022
314,Raúl Albiol,Villarreal,533,2022
668,N. Fekir,Real Betis,543,2022
1624,Pepe Reina,Villarreal,533,2022
